tahun;luas_lahan;jml_penduduk;luas_sawah;produksi
2004;0.006253586;0.899644289;0.000827832;0.121817294
2005;0.006073004;0.907536942;0.000795825;0.120898579
2006;0.007152149;0.915497956;0.000598647;0.126598169
2007;0.007243428;0.923526934;0;0.127482507
2008;0.00815503;0.931625063;0.000717586;0.143584325
2009;0.009066238;0.939793133;0.001434776;0.159685748
2010;0.008554128;0.950765161;0.001435962;0.159954052
2011;0.008957967;0.958665322;0.001426478;0.157720685
2012;0.006476053;0.966128846;0.001426478;0.14001892
2013;0.008972193;0.973170354;0.001416995;0.164144974
2014;0.008835472;0.9804367;0.000708497;0.164150902
2015;0.009641966;0.987244281;0;0.171114961
2016;0.011283404;0.993708875;0;0.181470956
2017;0.00999088;1;0;0.176988021
